num_of_players,num_of_gifts,value_noise_ratio,algorithm,random_seed,total_value,min_value,runtime
4,12,0.0,qp_max_min_allocation,1,0,0,0.12046419968828559
4,12,0.0,qp_max_min_allocation,2,5389,971,0.07894170004874468
4,12,0.0,qp_max_min_allocation,3,2292,486,0.07112400000914931
4,12,0.0,qp_max_min_allocation,4,3200,690,0.06959780026227236
4,12,0.0,santa_claus_main,0,7055,1675,0.45053570019081235
4,12,0.0,santa_claus_main,1,5875,138,0.41547940019518137
4,12,0.0,santa_claus_main,2,6926,1073,0.7212638002820313
4,12,0.0,santa_claus_main,3,5890,486,0.4430412002839148
4,12,0.0,santa_claus_main,4,3612,512,0.6299367998726666
4,14,0.0,qp_max_min_allocation,0,5765,989,0.07690620003268123
4,14,0.0,qp_max_min_allocation,1,3651,785,0.07192330015823245
4,14,0.0,qp_max_min_allocation,2,6442,1293,0.06898989994078875
4,14,0.0,qp_max_min_allocation,3,4129,931,0.07645189994946122
4,14,0.0,qp_max_min_allocation,4,3910,818,0.0938607002608478
4,14,0.0,santa_claus_main,0,8708,1208,1.648785199970007
4,14,0.0,santa_claus_main,1,6932,1356,2.4217780004255474
4,14,0.0,santa_claus_main,2,8487,1744,1.5843400997109711
4,14,0.0,santa_claus_main,3,6835,1012,1.9915335001423955
4,14,0.0,santa_claus_main,4,4849,1054,2.818741099908948
5,6,0.0,qp_max_min_allocation,0,3422,431,0.10274799959734082
5,6,0.0,qp_max_min_allocation,1,2437,65,0.07394370017573237
5,6,0.0,qp_max_min_allocation,2,3798,94,0.051073200069367886
5,6,0.0,qp_max_min_allocation,3,1922,134,0.12247780011966825
5,6,0.0,qp_max_min_allocation,4,0,0,0.11533729964867234
5,6,0.0,santa_claus_main,0,3422,431,0.19218310015276074
5,6,0.0,santa_claus_main,1,3259,65,0.16080919979140162
5,6,0.0,santa_claus_main,2,3856,94,0.24040819983929396
5,6,0.0,santa_claus_main,3,2860,244,0.1888961000367999
5,6,0.0,santa_claus_main,4,2295,311,0.13779000006616116
5,8,0.0,qp_max_min_allocation,0,3027,42,0.07689859997481108
5,8,0.0,qp_max_min_allocation,1,0,0,0.1113362000323832
